"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/02/2022","AQS","040038001","1","0.041","ppm","38","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/03/2022","AQS","040038001","1","0.037","ppm","34","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/04/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/05/2022","AQS","040038001","1","0.044","ppm","41","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/06/2022","AQS","040038001","1","0.042","ppm","39","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/07/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/08/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/09/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/10/2022","AQS","040038001","1","0.039","ppm","36","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/11/2022","AQS","040038001","1","0.042","ppm","39","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/12/2022","AQS","040038001","1","0.041","ppm","38","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/13/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/14/2022","AQS","040038001","1","0.046","ppm","43","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/15/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/16/2022","AQS","040038001","1","0.046","ppm","43","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/17/2022","AQS","040038001","1","0.04","ppm","37","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/18/2022","AQS","040038001","1","0.029","ppm","27","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/19/2022","AQS","040038001","1","0.038","ppm","35","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/20/2022","AQS","040038001","1","0.038","ppm","35","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/21/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/22/2022","AQS","040038001","1","0.042","ppm","39","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/23/2022","AQS","040038001","1","0.04","ppm","37","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/24/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/25/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/26/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/27/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/28/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/29/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/30/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"01/31/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/01/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/02/2022","AQS","040038001","1","0.046","ppm","43","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/03/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/04/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/05/2022","AQS","040038001","1","0.043","ppm","40","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/06/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/07/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/08/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/09/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/10/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/11/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/12/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/13/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/14/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/15/2022","AQS","040038001","1","0.053","ppm","49","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/16/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/17/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/18/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/19/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/20/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/21/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/22/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/23/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/24/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/25/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/26/2022","AQS","040038001","1","0.054","ppm","50","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"02/27/2022","AQS","040038001","1","0.056","ppm","54","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
