GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013010102;Census Tract 101.02; Maricopa County;2648;181408;292820
04013010103;Census Tract 101.03; Maricopa County;1476;128446;161434
04013010104;Census Tract 101.04; Maricopa County;1639;136418;171805
04013030401;Census Tract 304.01; Maricopa County;2548;150645;193311
04013030402;Census Tract 304.02; Maricopa County;1909;91250;125290
04013040502;Census Tract 405.02; Maricopa County;2371;61543;87624
04013040506;Census Tract 405.06; Maricopa County;3483;56567;62321
04013040507;Census Tract 405.07; Maricopa County;3805;63398;71579
04013040512;Census Tract 405.12; Maricopa County;901;62422;79194
04013040513;Census Tract 405.13; Maricopa County;1638;72222;90019
04013040514;Census Tract 405.14; Maricopa County;1753;63438;95762
04013040515;Census Tract 405.15; Maricopa County;1994;71250;108442
04013040516;Census Tract 405.16; Maricopa County;3923;91273;102889
04013040522;Census Tract 405.22; Maricopa County;2541;59277;79580
04013040523;Census Tract 405.23; Maricopa County;1706;81250;106213
04013040524;Census Tract 405.24; Maricopa County;872;85341;96047
04013040525;Census Tract 405.25; Maricopa County;1751;70625;83334
04013040526;Census Tract 405.26; Maricopa County;1372;70089;81891
04013040527;Census Tract 405.27; Maricopa County;1928;77206;102642
04013040528;Census Tract 405.28; Maricopa County;3488;75113;88552
04013040529;Census Tract 405.29; Maricopa County;1916;86105;98250
04013040530;Census Tract 405.30; Maricopa County;1427;84596;91922
04013040531;Census Tract 405.31; Maricopa County;2129;54368;65601
04013040532;Census Tract 405.32; Maricopa County;1952;104840;123578
04013040533;Census Tract 405.33; Maricopa County;778;124000;126004
04013040534;Census Tract 405.34; Maricopa County;1937;74741;113872
04013040535;Census Tract 405.35; Maricopa County;2200;111000;140711
04013040536;Census Tract 405.36; Maricopa County;1989;127702;152693
04013040537;Census Tract 405.37; Maricopa County;1083;124995;156427
04013040538;Census Tract 405.38; Maricopa County;1677;94504;129455
04013040539;Census Tract 405.39; Maricopa County;2607;82487;91475
04013040540;Census Tract 405.40; Maricopa County;1770;95534;94530
04013040541;Census Tract 405.41; Maricopa County;1801;52044;67220
04013050603;Census Tract 506.03; Maricopa County;1952;73333;81839
04013050604;Census Tract 506.04; Maricopa County;1123;71583;93760
04013050609;Census Tract 506.09; Maricopa County;2173;77541;89259
04013050611;Census Tract 506.11; Maricopa County;1785;99014;109343
04013050612;Census Tract 506.12; Maricopa County;3102;100413;99128
04013050613;Census Tract 506.13; Maricopa County;1499;96989;110418
04013050614;Census Tract 506.14; Maricopa County;1195;98448;105097
04013050615;Census Tract 506.15; Maricopa County;1637;71274;88011
04013050616;Census Tract 506.16; Maricopa County;938;85091;87996
04013050617;Census Tract 506.17; Maricopa County;1553;94141;106395
04013050618;Census Tract 506.18; Maricopa County;2354;150486;155778
04013050619;Census Tract 506.19; Maricopa County;2830;130197;146399
04013050620;Census Tract 506.20; Maricopa County;2363;114378;139548
