GEOID;tract;county;total_pop;total_hhunits
04013010102;Census Tract 101.02; Maricopa County;5353;3603
04013010103;Census Tract 101.03; Maricopa County;3096;1801
04013010104;Census Tract 101.04; Maricopa County;2511;2085
04013030401;Census Tract 304.01; Maricopa County;5250;3432
04013030402;Census Tract 304.02; Maricopa County;3840;2022
04013040502;Census Tract 405.02; Maricopa County;5539;2668
04013040506;Census Tract 405.06; Maricopa County;5875;4621
04013040507;Census Tract 405.07; Maricopa County;6808;4781
04013040512;Census Tract 405.12; Maricopa County;1725;1137
04013040513;Census Tract 405.13; Maricopa County;2991;2232
04013040514;Census Tract 405.14; Maricopa County;3085;2155
04013040515;Census Tract 405.15; Maricopa County;4274;2339
04013040516;Census Tract 405.16; Maricopa County;6572;3438
04013040522;Census Tract 405.22; Maricopa County;4196;3041
04013040523;Census Tract 405.23; Maricopa County;3351;2219
04013040524;Census Tract 405.24; Maricopa County;1700;1083
04013040525;Census Tract 405.25; Maricopa County;3077;2063
04013040526;Census Tract 405.26; Maricopa County;2314;1600
04013040527;Census Tract 405.27; Maricopa County;4328;2529
04013040528;Census Tract 405.28; Maricopa County;5701;4376
04013040529;Census Tract 405.29; Maricopa County;3231;2405
04013040530;Census Tract 405.30; Maricopa County;3718;1501
04013040531;Census Tract 405.31; Maricopa County;3793;2816
04013040532;Census Tract 405.32; Maricopa County;7415;2100
04013040533;Census Tract 405.33; Maricopa County;1960;604
04013040534;Census Tract 405.34; Maricopa County;3000;1950
04013040535;Census Tract 405.35; Maricopa County;4275;1757
04013040536;Census Tract 405.36; Maricopa County;5448;1781
04013040537;Census Tract 405.37; Maricopa County;2161;905
04013040538;Census Tract 405.38; Maricopa County;2440;1124
04013040539;Census Tract 405.39; Maricopa County;5963;2712
04013040540;Census Tract 405.40; Maricopa County;4976;1396
04013040541;Census Tract 405.41; Maricopa County;4631;1875
04013050603;Census Tract 506.03; Maricopa County;6223;2283
04013050604;Census Tract 506.04; Maricopa County;2990;1215
04013050609;Census Tract 506.09; Maricopa County;4790;2093
04013050611;Census Tract 506.11; Maricopa County;6223;1687
04013050612;Census Tract 506.12; Maricopa County;8044;2273
04013050613;Census Tract 506.13; Maricopa County;5348;1343
04013050614;Census Tract 506.14; Maricopa County;3505;1250
04013050615;Census Tract 506.15; Maricopa County;4126;1466
04013050616;Census Tract 506.16; Maricopa County;2910;846
04013050617;Census Tract 506.17; Maricopa County;4485;1430
04013050618;Census Tract 506.18; Maricopa County;6485;1998
04013050619;Census Tract 506.19; Maricopa County;6748;2384
04013050620;Census Tract 506.20; Maricopa County;5572;1706
04013050621;Census Tract 506.21; Maricopa County;4752;1694
04013050701;Census Tract 507.01; Maricopa County;6592;1933
04013050702;Census Tract 507.02; Maricopa County;4988;1913
04013060801;Census Tract 608.01; Maricopa County;5705;3081
04013060802;Census Tract 608.02; Maricopa County;2953;852
04013060901;Census Tract 609.01; Maricopa County;5029;1552
04013060902;Census Tract 609.02; Maricopa County;3731;1184
04013060903;Census Tract 609.03; Maricopa County;5647;1604
04013060904;Census Tract 609.04; Maricopa County;3818;1228
04013061010;Census Tract 610.10; Maricopa County;5969;2628
04013061011;Census Tract 610.11; Maricopa County;8586;2433
04013061013;Census Tract 610.13; Maricopa County;7878;2227
04013061014;Census Tract 610.14; Maricopa County;6053;2550
04013061015;Census Tract 610.15; Maricopa County;5282;1821
04013061017;Census Tract 610.17; Maricopa County;3952;0
04013061018;Census Tract 610.18; Maricopa County;4827;3581
04013061020;Census Tract 610.20; Maricopa County;3397;1163
04013061021;Census Tract 610.21; Maricopa County;1997;535
04013061024;Census Tract 610.24; Maricopa County;1854;648
04013061026;Census Tract 610.26; Maricopa County;6188;2352
04013061027;Census Tract 610.27; Maricopa County;6640;2213
04013061028;Census Tract 610.28; Maricopa County;2577;1160
04013061029;Census Tract 610.29; Maricopa County;4423;2017
04013061031;Census Tract 610.31; Maricopa County;6091;1953
04013061032;Census Tract 610.32; Maricopa County;6302;1896
04013061033;Census Tract 610.33; Maricopa County;6037;2062
04013061034;Census Tract 610.34; Maricopa County;8228;2597
04013061035;Census Tract 610.35; Maricopa County;7067;2426
04013061036;Census Tract 610.36; Maricopa County;4405;1250
04013061037;Census Tract 610.37; Maricopa County;5616;1724
04013061038;Census Tract 610.38; Maricopa County;4562;1554
04013061039;Census Tract 610.39; Maricopa County;4844;1403
04013061040;Census Tract 610.40; Maricopa County;4579;1545
04013061041;Census Tract 610.41; Maricopa County;5005;1686
04013061042;Census Tract 610.42; Maricopa County;2444;1365
04013061043;Census Tract 610.43; Maricopa County;2496;734
04013061044;Census Tract 610.44; Maricopa County;8773;2758
04013061045;Census Tract 610.45; Maricopa County;7874;2692
04013061046;Census Tract 610.46; Maricopa County;6060;2288
04013061047;Census Tract 610.47; Maricopa County;4195;1206
04013061048;Census Tract 610.48; Maricopa County;3945;1584
04013061049;Census Tract 610.49; Maricopa County;5377;1583
04013061050;Census Tract 610.50; Maricopa County;5688;1784
04013061051;Census Tract 610.51; Maricopa County;4115;1254
04013061052;Census Tract 610.52; Maricopa County;7484;2412
04013061053;Census Tract 610.53; Maricopa County;5326;1876
04013061054;Census Tract 610.54; Maricopa County;5482;2860
04013061055;Census Tract 610.55; Maricopa County;5879;1685
04013061056;Census Tract 610.56; Maricopa County;3053;831
04013061057;Census Tract 610.57; Maricopa County;3057;854
04013061058;Census Tract 610.58; Maricopa County;2898;1118
04013061059;Census Tract 610.59; Maricopa County;5114;1477
04013061060;Census Tract 610.60; Maricopa County;2970;946
04013061061;Census Tract 610.61; Maricopa County;5378;1408
04013061062;Census Tract 610.62; Maricopa County;7714;2340
04013061063;Census Tract 610.63; Maricopa County;1171;516
04013061064;Census Tract 610.64; Maricopa County;2331;959
04013061100;Census Tract 611; Maricopa County;2609;564
04013061200;Census Tract 612; Maricopa County;5962;2143
04013061300;Census Tract 613; Maricopa County;1933;671
04013061401;Census Tract 614.01; Maricopa County;2170;687
04013061402;Census Tract 614.02; Maricopa County;6180;1831
04013071503;Census Tract 715.03; Maricopa County;4479;3733
04013071504;Census Tract 715.04; Maricopa County;3528;2643
04013071505;Census Tract 715.05; Maricopa County;6770;4399
04013071506;Census Tract 715.06; Maricopa County;4112;2835
04013071509;Census Tract 715.09; Maricopa County;4796;1904
04013071510;Census Tract 715.10; Maricopa County;3958;1353
04013071511;Census Tract 715.11; Maricopa County;3164;1573
04013071512;Census Tract 715.12; Maricopa County;6887;2181
04013071513;Census Tract 715.13; Maricopa County;1517;611
04013071514;Census Tract 715.14; Maricopa County;4269;1733
04013071515;Census Tract 715.15; Maricopa County;3699;1984
04013071516;Census Tract 715.16; Maricopa County;3572;2516
04013071517;Census Tract 715.17; Maricopa County;3424;1160
04013071600;Census Tract 716; Maricopa County;3672;1903
04013071701;Census Tract 717.01; Maricopa County;3400;964
04013071702;Census Tract 717.02; Maricopa County;3109;2451
04013071801;Census Tract 718.01; Maricopa County;5682;3973
04013071802;Census Tract 718.02; Maricopa County;3339;2678
04013071903;Census Tract 719.03; Maricopa County;5690;2535
04013071906;Census Tract 719.06; Maricopa County;5462;2072
04013071909;Census Tract 719.09; Maricopa County;3501;1682
04013071910;Census Tract 719.10; Maricopa County;6141;2430
04013071911;Census Tract 719.11; Maricopa County;3348;1121
04013071912;Census Tract 719.12; Maricopa County;3478;1153
04013071913;Census Tract 719.13; Maricopa County;5992;1825
04013071914;Census Tract 719.14; Maricopa County;2733;861
04013071915;Census Tract 719.15; Maricopa County;3406;1423
04013082002;Census Tract 820.02; Maricopa County;7236;2593
04013082007;Census Tract 820.07; Maricopa County;4167;1244
04013082008;Census Tract 820.08; Maricopa County;5963;1749
04013082009;Census Tract 820.09; Maricopa County;5466;1353
04013082010;Census Tract 820.10; Maricopa County;5903;1380
04013082012;Census Tract 820.12; Maricopa County;7454;1854
04013082016;Census Tract 820.16; Maricopa County;2942;883
04013082017;Census Tract 820.17; Maricopa County;4904;1513
04013082018;Census Tract 820.18; Maricopa County;5766;1678
04013082019;Census Tract 820.19; Maricopa County;2628;781
04013082020;Census Tract 820.20; Maricopa County;4585;1450
04013082021;Census Tract 820.21; Maricopa County;2655;802
04013082022;Census Tract 820.22; Maricopa County;5650;1874
04013082023;Census Tract 820.23; Maricopa County;5433;1856
04013082024;Census Tract 820.24; Maricopa County;4188;1537
04013082025;Census Tract 820.25; Maricopa County;2969;1018
04013082026;Census Tract 820.26; Maricopa County;6025;2197
04013082027;Census Tract 820.27; Maricopa County;4665;1411
04013082028;Census Tract 820.28; Maricopa County;4798;1485
04013082204;Census Tract 822.04; Maricopa County;6482;1596
04013082205;Census Tract 822.05; Maricopa County;6970;1684
04013082206;Census Tract 822.06; Maricopa County;4461;1101
04013082207;Census Tract 822.07; Maricopa County;3475;957
04013082208;Census Tract 822.08; Maricopa County;3176;860
04013082209;Census Tract 822.09; Maricopa County;3220;923
04013082210;Census Tract 822.10; Maricopa County;5431;1521
04013082211;Census Tract 822.11; Maricopa County;7044;2012
04013082212;Census Tract 822.12; Maricopa County;5884;1583
04013082213;Census Tract 822.13; Maricopa County;6426;1643
04013083000;Census Tract 830; Maricopa County;7340;2327
04013092305;Census Tract 923.05; Maricopa County;5503;1635
04013092306;Census Tract 923.06; Maricopa County;6183;2188
04013092307;Census Tract 923.07; Maricopa County;5683;2295
04013092308;Census Tract 923.08; Maricopa County;7362;2819
04013092309;Census Tract 923.09; Maricopa County;6240;1982
04013092311;Census Tract 923.11; Maricopa County;3244;1451
04013092312;Census Tract 923.12; Maricopa County;5980;2568
04013092401;Census Tract 924.01; Maricopa County;4566;1792
04013092402;Census Tract 924.02; Maricopa County;3722;1904
04013092500;Census Tract 925; Maricopa County;4587;2076
04013092600;Census Tract 926; Maricopa County;2994;1284
04013092705;Census Tract 927.05; Maricopa County;4904;1593
04013092708;Census Tract 927.08; Maricopa County;1983;690
04013092709;Census Tract 927.09; Maricopa County;4283;1515
04013092710;Census Tract 927.10; Maricopa County;5894;1743
04013092711;Census Tract 927.11; Maricopa County;3654;1104
04013092712;Census Tract 927.12; Maricopa County;6032;1786
04013092713;Census Tract 927.13; Maricopa County;5279;1503
04013092715;Census Tract 927.15; Maricopa County;4407;1267
04013092716;Census Tract 927.16; Maricopa County;4035;1122
04013092717;Census Tract 927.17; Maricopa County;6255;1616
04013092718;Census Tract 927.18; Maricopa County;4370;1383
04013092719;Census Tract 927.19; Maricopa County;4723;1679
04013092720;Census Tract 927.20; Maricopa County;6166;2304
04013092721;Census Tract 927.21; Maricopa County;3999;1107
04013092723;Census Tract 927.23; Maricopa County;3583;1538
04013092724;Census Tract 927.24; Maricopa County;4344;1492
04013092801;Census Tract 928.01; Maricopa County;5333;1746
04013092802;Census Tract 928.02; Maricopa County;6914;1826
04013092900;Census Tract 929; Maricopa County;3301;1117
04013093001;Census Tract 930.01; Maricopa County;6025;2117
04013093002;Census Tract 930.02; Maricopa County;4748;1343
04013093101;Census Tract 931.01; Maricopa County;5980;1744
04013093104;Census Tract 931.04; Maricopa County;4718;1711
04013093105;Census Tract 931.05; Maricopa County;5040;1998
04013093106;Census Tract 931.06; Maricopa County;4997;1081
04013093200;Census Tract 932; Maricopa County;4161;1499
04013103205;Census Tract 1032.05; Maricopa County;2686;957
04013103206;Census Tract 1032.06; Maricopa County;2511;931
04013103207;Census Tract 1032.07; Maricopa County;2376;910
04013103208;Census Tract 1032.08; Maricopa County;3494;2657
04013103209;Census Tract 1032.09; Maricopa County;5061;2525
04013103210;Census Tract 1032.10; Maricopa County;7923;3882
04013103211;Census Tract 1032.11; Maricopa County;4870;1848
04013103212;Census Tract 1032.12; Maricopa County;4258;1685
04013103214;Census Tract 1032.14; Maricopa County;4128;1485
04013103215;Census Tract 1032.15; Maricopa County;3488;1160
04013103216;Census Tract 1032.16; Maricopa County;5860;2612
04013103217;Census Tract 1032.17; Maricopa County;6010;2764
04013103219;Census Tract 1032.19; Maricopa County;3334;1935
