site_id,lat,long
West Phoenix,33.48378,-112.14256
Mesa,33.41018,-111.86536
North Phoenix,33.56031,-112.06619
Falcon Field,33.45244,-111.73327
Glendale,33.57453,-112.19193
Pinnacle Peak,33.70639,-111.85575
Central Phoenix,33.45797,-112.04659
South Scottsdale,33.47968,-111.91721
South Phoenix,33.40314,-112.07526
West Chandler,33.29896,-111.88426
Tempe,33.41123,-111.93471
Cave Creek,33.82169,-112.01726
Dysart,33.63718,-112.34185
Buckeye,33.36985,-112.62068
Red Mountain Air Monitoring Station,33.507992,-111.755334
High School Air Monitoring Station,33.508125,-111.83852
Humboldt Mountain,33.9828,-111.79871
Salt River Recreation Area,33.54558,-111.60972
Fountain Hills,33.61092,-111.72534
Jlg Supersite,33.503833,-112.095767
Saguaro Np,32.174538,-110.737116
22Nd & Craycroft,32.204411,-110.878067
Tangerine,32.425261,-111.06352
Fairgrounds,32.04767,-110.774357
Children'S Park Ncore,32.29515,-110.9823
A J Maintenance Yard,33.4214,-111.5436
Casa Grande Airport,32.954361,-111.76225
Queen Valley,33.293465,-111.285594
